timestamp,session_id,device_id,event_type,url,title,tab_id,scroll_delta_y,scroll_total_y,duration_ms,reaction_time_ms,miss,error,extra
1777215305.799,session_20260426_155203_77a4c6,browser_mofw0w8r5lygd9,dual_task,,,,,,,2005.7,False,False,"{""probe_id"":""probe_eab98d12"",""response_type"":""target_click""}"
1777215339.522,session_20260426_155203_77a4c6,browser_mofw0w8r5lygd9,dual_task,,,,,,,975.5,False,False,"{""probe_id"":""probe_7c698eb9"",""response_type"":""target_click""}"
1777215365.407,session_20260426_155203_77a4c6,browser_mofw0w8r5lygd9,dual_task,,,,,,,1592.9,False,False,"{""probe_id"":""probe_2422089b"",""response_type"":""target_click""}"
1777215397.046,session_20260426_155203_77a4c6,browser_mofw0w8r5lygd9,dual_task,,,,,,,2160.3,False,True,"{""probe_id"":""probe_c7e4a0ff"",""response_type"":""invalid_click""}"
1777215397.8744943,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215398.876561,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215402.8804417,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215403.3811395,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215494.492377,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215495.493689,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215498.496587,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215508.007708,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215533.0382657,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215543.5500064,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215544.051271,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215547.5561812,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215549.060279,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215550.0765786,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215568.6873152,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215570.1922932,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
1777215570.6931112,session_20260426_155203_77a4c6,device_369185de,active_app_change,,,,,,,,,,
