timestamp,session_id,device_id,event_type,key,interval_ms
1777215227.1431918,session_20260426_155203_77a4c6,device_369185de,key_release,p,0.0
1777215227.1469786,session_20260426_155203_77a4c6,device_369185de,key_press,u,76.38
1777215227.1978939,session_20260426_155203_77a4c6,device_369185de,key_release,e,0.0
1777215227.2470703,session_20260426_155203_77a4c6,device_369185de,key_press,t,100.09
1777215227.2789779,session_20260426_155203_77a4c6,device_369185de,key_release,u,0.0
1777215227.3173213,session_20260426_155203_77a4c6,device_369185de,key_press,space,70.25
1777215227.3587024,session_20260426_155203_77a4c6,device_369185de,key_release,t,0.0
1777215227.3933992,session_20260426_155203_77a4c6,device_369185de,key_press,^,76.08
1777215227.487272,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215227.4934494,session_20260426_155203_77a4c6,device_369185de,key_press,e,100.05
1777215227.533726,session_20260426_155203_77a4c6,device_369185de,key_release,^,0.0
1777215227.5500765,session_20260426_155203_77a4c6,device_369185de,key_press,t,56.63
1777215227.5902038,session_20260426_155203_77a4c6,device_369185de,key_release,e,0.0
1777215227.6547635,session_20260426_155203_77a4c6,device_369185de,key_release,t,0.0
1777215227.7427182,session_20260426_155203_77a4c6,device_369185de,key_press,r,192.64
1777215227.887029,session_20260426_155203_77a4c6,device_369185de,key_release,r,0.0
1777215227.8921475,session_20260426_155203_77a4c6,device_369185de,key_press,e,149.43
1777215228.0052974,session_20260426_155203_77a4c6,device_369185de,key_press,space,113.15
1777215228.0377696,session_20260426_155203_77a4c6,device_369185de,key_release,e,0.0
1777215228.1348805,session_20260426_155203_77a4c6,device_369185de,key_press,t,129.58
1777215228.157315,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215228.230788,session_20260426_155203_77a4c6,device_369185de,key_release,t,0.0
1777215228.3191004,session_20260426_155203_77a4c6,device_369185de,key_press,r,184.22
1777215228.4469104,session_20260426_155203_77a4c6,device_369185de,key_release,r,0.0
1777215228.4507375,session_20260426_155203_77a4c6,device_369185de,key_press,a,131.64
1777215228.5588844,session_20260426_155203_77a4c6,device_369185de,key_release,a,0.0
