timestamp,session_id,device_id,event_type,x,y,button,delta_x,delta_y,speed
1777215130.0591586,session_20260426_155203_77a4c6,device_369185de,mouse_move,1317,869,,,,417.86
1777215130.067162,session_20260426_155203_77a4c6,device_369185de,mouse_move,1315,869,,,,249.89
1777215130.0834713,session_20260426_155203_77a4c6,device_369185de,mouse_move,1313,870,,,,137.1
1777215130.091467,session_20260426_155203_77a4c6,device_369185de,mouse_move,1310,870,,,,375.21
1777215130.0995429,session_20260426_155203_77a4c6,device_369185de,mouse_move,1308,871,,,,276.88
1777215130.1077282,session_20260426_155203_77a4c6,device_369185de,mouse_move,1306,873,,,,345.55
1777215130.1152678,session_20260426_155203_77a4c6,device_369185de,mouse_move,1304,873,,,,265.27
1777215130.1234784,session_20260426_155203_77a4c6,device_369185de,mouse_move,1302,874,,,,272.34
1777215130.132246,session_20260426_155203_77a4c6,device_369185de,mouse_move,1298,876,,,,510.07
1777215130.1397085,session_20260426_155203_77a4c6,device_369185de,mouse_move,1297,876,,,,134.0
1777215130.1479638,session_20260426_155203_77a4c6,device_369185de,mouse_move,1295,876,,,,242.27
1777215130.155885,session_20260426_155203_77a4c6,device_369185de,mouse_move,1293,877,,,,282.29
1777215130.1639442,session_20260426_155203_77a4c6,device_369185de,mouse_move,1292,877,,,,124.08
1777215130.1721148,session_20260426_155203_77a4c6,device_369185de,mouse_move,1290,878,,,,273.67
1777215130.1800842,session_20260426_155203_77a4c6,device_369185de,mouse_move,1289,878,,,,125.48
1777215131.7802038,session_20260426_155203_77a4c6,device_369185de,mouse_move,1289,879,,,,0.62
1777215131.9475403,session_20260426_155203_77a4c6,device_369185de,mouse_move,1287,879,,,,11.95
1777215133.0123808,session_20260426_155203_77a4c6,device_369185de,mouse_scroll,1287,879,,0,-1,0.0
1777215133.2602105,session_20260426_155203_77a4c6,device_369185de,mouse_scroll,1287,879,,0,-1,0.0
1777215133.3393846,session_20260426_155203_77a4c6,device_369185de,mouse_scroll,1287,879,,0,-1,0.0
1777215133.4275088,session_20260426_155203_77a4c6,device_369185de,mouse_move,1286,879,,,,0.68
1777215133.5323772,session_20260426_155203_77a4c6,device_369185de,mouse_scroll,1286,879,,0,1,0.0
1777215133.57985,session_20260426_155203_77a4c6,device_369185de,mouse_scroll,1286,879,,0,1,0.0
1777215133.7154565,session_20260426_155203_77a4c6,device_369185de,mouse_scroll,1286,879,,0,1,0.0
1777215133.9315727,session_20260426_155203_77a4c6,device_369185de,mouse_scroll,1286,879,,0,-1,0.0
1777215133.9716196,session_20260426_155203_77a4c6,device_369185de,mouse_scroll,1286,879,,0,-1,0.0
1777215134.011927,session_20260426_155203_77a4c6,device_369185de,mouse_scroll,1286,879,,0,-1,0.0
1777215134.5241692,session_20260426_155203_77a4c6,device_369185de,mouse_move,1284,880,,,,2.04
