timestamp,session_id,device_id,event_type,x,y,button,delta_x,delta_y,speed
1776790695.9085586,session_20260421_175806_be17b2,device_7218356a,mouse_move,1027,961,,,,0.0
1776790695.9152946,session_20260421_175806_be17b2,device_7218356a,mouse_move,1027,960,,,,148.46
1776790695.9226866,session_20260421_175806_be17b2,device_7218356a,mouse_move,1027,959,,,,135.28
1776790695.9291909,session_20260421_175806_be17b2,device_7218356a,mouse_move,1027,959,,,,0.0
1776790695.9365277,session_20260421_175806_be17b2,device_7218356a,mouse_move,1028,959,,,,136.3
1776790695.9432702,session_20260421_175806_be17b2,device_7218356a,mouse_move,1028,958,,,,148.31
1776790695.9499497,session_20260421_175806_be17b2,device_7218356a,mouse_move,1028,958,,,,0.0
1776790695.956517,session_20260421_175806_be17b2,device_7218356a,mouse_move,1028,957,,,,152.27
1776790695.964313,session_20260421_175806_be17b2,device_7218356a,mouse_move,1028,957,,,,0.0
1776790695.970996,session_20260421_175806_be17b2,device_7218356a,mouse_move,1028,956,,,,149.64
1776790695.9922564,session_20260421_175806_be17b2,device_7218356a,mouse_move,1028,955,,,,47.04
1776790696.0053215,session_20260421_175806_be17b2,device_7218356a,mouse_move,1028,955,,,,0.0
1776790696.0204403,session_20260421_175806_be17b2,device_7218356a,mouse_move,1028,954,,,,66.14
1776790696.0342429,session_20260421_175806_be17b2,device_7218356a,mouse_move,1028,954,,,,0.0
1776790696.0902228,session_20260421_175806_be17b2,device_7218356a,mouse_move,1029,954,,,,17.86
1776790696.104765,session_20260421_175806_be17b2,device_7218356a,mouse_move,1030,954,,,,68.77
1776790696.1110947,session_20260421_175806_be17b2,device_7218356a,mouse_move,1030,954,,,,0.0
1776790696.1252742,session_20260421_175806_be17b2,device_7218356a,mouse_move,1030,953,,,,70.52
1776790696.3415604,session_20260421_175806_be17b2,device_7218356a,mouse_press,1030,953,left,,,0.0
1776790696.5575922,session_20260421_175806_be17b2,device_7218356a,mouse_release,1030,953,left,,,0.0
